w,errormargin,pollutionplus,exceptionalplus,typebeam,index
60,0.5,4,3,Old,9999
60,0.5,4,5,normal,6
60,0.5,4,5,Jaccard,4
60,0.5,4,5,Old,9999
60,0.5,8,1,normal,9999
60,0.5,8,1,Jaccard,9999
60,0.5,8,1,Old,9999
60,0.5,8,3,normal,2
60,0.5,8,3,Jaccard,2
60,0.5,8,3,Old,9999
60,0.5,8,5,normal,4
60,0.5,8,5,Jaccard,3
60,0.5,8,5,Old,9999
60,0.5,20,1,normal,9999
60,0.5,20,1,Jaccard,9999
60,0.5,20,1,Old,9999
60,0.5,20,3,normal,2
60,0.5,20,3,Jaccard,2
60,0.5,20,3,Old,9999
60,0.5,20,5,normal,15
60,0.5,20,5,Jaccard,10
60,0.5,20,5,Old,9999
60,2.0,4,1,normal,21
60,2.0,4,1,Jaccard,13
60,2.0,4,1,Old,9999
60,2.0,4,3,normal,7
60,2.0,4,3,Jaccard,5
60,2.0,4,3,Old,9999
60,2.0,4,5,normal,6
60,2.0,4,5,Jaccard,4
60,2.0,4,5,Old,9999
60,2.0,8,1,normal,9999
60,2.0,8,1,Jaccard,37
60,2.0,8,1,Old,9999
60,2.0,8,3,normal,27
60,2.0,8,3,Jaccard,16
60,2.0,8,3,Old,9999
60,2.0,8,5,normal,11
60,2.0,8,5,Jaccard,7
60,2.0,8,5,Old,9999
60,2.0,20,1,normal,9999
60,2.0,20,1,Jaccard,9999
60,2.0,20,1,Old,9999
60,2.0,20,3,normal,56
60,2.0,20,3,Jaccard,31
60,2.0,20,3,Old,9999
60,2.0,20,5,normal,9999
60,2.0,20,5,Jaccard,9999
60,2.0,20,5,Old,9999
60,10.0,4,1,normal,12
60,10.0,4,1,Jaccard,8
60,10.0,4,1,Old,9999
60,10.0,4,3,normal,6
60,10.0,4,3,Jaccard,4
60,10.0,4,3,Old,9999
60,10.0,4,5,normal,6
60,10.0,4,5,Jaccard,4
60,10.0,4,5,Old,9999
60,10.0,8,1,normal,9999
60,10.0,8,1,Jaccard,9999
60,10.0,8,1,Old,9999
60,10.0,8,3,normal,9999
60,10.0,8,3,Jaccard,54
60,10.0,8,3,Old,9999
60,10.0,8,5,normal,10
60,10.0,8,5,Jaccard,6
60,10.0,8,5,Old,9999
60,10.0,20,1,normal,9999
60,10.0,20,1,Jaccard,9999
60,10.0,20,1,Old,9999
60,10.0,20,3,normal,9999
60,10.0,20,3,Jaccard,9999
60,10.0,20,3,Old,9999
60,10.0,20,5,normal,6
60,10.0,20,5,Jaccard,4
60,10.0,20,5,Old,9999
