w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
10,10.0,20,3,12,normal,2,9999,9999,9999,9999,9999
10,10.0,20,3,12,Jaccard,2,9999,9999,9999,9999,9999
10,10.0,20,3,25,normal,3,9999,9999,9999,8,9999
10,10.0,20,3,25,Jaccard,3,9999,9999,9999,6,9999
10,10.0,20,5,4,normal,3,2,8,7,9999,9999
10,10.0,20,5,4,Jaccard,3,2,8,7,9999,9999
10,10.0,20,5,12,normal,3,2,9999,9999,9999,9999
10,10.0,20,5,12,Jaccard,3,2,9999,9999,9999,9999
10,10.0,20,5,25,normal,4,9999,9999,9999,7,9999
10,10.0,20,5,25,Jaccard,4,9999,9999,9999,6,9999
25,0.5,4,1,4,normal,5,2,9999,9999,8,9999
25,0.5,4,1,4,Jaccard,4,2,9999,9999,6,9999
25,0.5,4,1,12,normal,9999,3,9999,9999,4,9999
25,0.5,4,1,12,Jaccard,20,2,9999,9999,3,9999
25,0.5,4,1,25,normal,9999,9,9999,9999,2,5
25,0.5,4,1,25,Jaccard,9999,8,9999,9999,1,4
25,0.5,4,3,4,normal,5,2,9999,9999,13,9999
25,0.5,4,3,4,Jaccard,4,2,9999,9999,10,9999
25,0.5,4,3,12,normal,9999,4,9999,9999,3,9999
25,0.5,4,3,12,Jaccard,21,3,9999,9999,2,9999
25,0.5,4,3,25,normal,9999,10,9999,9999,2,4
25,0.5,4,3,25,Jaccard,9999,7,9999,9999,1,3
25,0.5,4,5,4,normal,7,2,5,20,9999,9999
25,0.5,4,5,4,Jaccard,5,2,4,15,19,9999
25,0.5,4,5,12,normal,9999,2,9999,9999,1,9999
25,0.5,4,5,12,Jaccard,9999,2,20,9999,1,9999
25,0.5,4,5,25,normal,9999,11,9999,9999,2,6
25,0.5,4,5,25,Jaccard,9999,8,9999,9999,1,4
25,0.5,8,1,4,normal,5,2,9999,9999,9999,9999
25,0.5,8,1,4,Jaccard,4,2,9999,9999,9999,9999
25,0.5,8,1,12,normal,6,1,9999,9999,5,9999
25,0.5,8,1,12,Jaccard,5,1,9999,9999,4,9999
25,0.5,8,1,25,normal,9999,4,9999,9999,3,11
25,0.5,8,1,25,Jaccard,9999,3,9999,9999,2,8
25,0.5,8,3,4,normal,5,2,10,9999,9999,9999
25,0.5,8,3,4,Jaccard,4,2,7,9999,9999,9999
25,0.5,8,3,12,normal,6,1,9999,9999,5,9999
25,0.5,8,3,12,Jaccard,5,1,9999,9999,4,9999
25,0.5,8,3,25,normal,9999,4,9999,9999,3,10
25,0.5,8,3,25,Jaccard,22,3,9999,9999,2,7
25,0.5,8,5,4,normal,3,2,9999,9999,9999,9999
25,0.5,8,5,4,Jaccard,3,2,9999,9999,9999,9999
25,0.5,8,5,12,normal,6,1,9999,9999,5,9999
25,0.5,8,5,12,Jaccard,5,1,9999,23,4,9999
25,0.5,8,5,25,normal,9999,4,9999,9999,3,11
25,0.5,8,5,25,Jaccard,9999,3,9999,9999,2,8
25,0.5,20,1,4,normal,3,2,9999,9999,9999,9999
25,0.5,20,1,4,Jaccard,3,2,9999,9999,24,17
25,0.5,20,1,12,normal,2,9999,9999,9999,9999,9999
25,0.5,20,1,12,Jaccard,2,9999,9999,9999,9999,9999
25,0.5,20,1,25,normal,3,9999,9999,9999,10,9999
25,0.5,20,1,25,Jaccard,3,9999,9999,9999,8,9999
25,0.5,20,3,4,normal,3,2,17,9999,9999,9999
25,0.5,20,3,4,Jaccard,3,2,12,9999,9999,9999
25,0.5,20,3,12,normal,5,2,9999,9999,9999,9999
25,0.5,20,3,12,Jaccard,4,2,24,9999,9999,9999
25,0.5,20,3,25,normal,5,2,9999,9999,6,9999
25,0.5,20,3,25,Jaccard,4,2,9999,9999,5,9999
25,0.5,20,5,4,normal,2,3,8,10,9999,9999
25,0.5,20,5,4,Jaccard,2,3,6,7,9999,9999
25,0.5,20,5,12,normal,5,2,9999,9999,9999,9999
25,0.5,20,5,12,Jaccard,4,2,22,9999,9999,9999
25,0.5,20,5,25,normal,3,9999,9999,9999,6,9999
25,0.5,20,5,25,Jaccard,3,9999,9999,9999,5,9999
25,2.0,4,1,4,normal,5,2,9999,9999,11,9999
25,2.0,4,1,4,Jaccard,4,2,9999,9999,8,9999
25,2.0,4,1,12,normal,9999,2,9999,9999,1,9999
25,2.0,4,1,12,Jaccard,9999,2,9999,9999,1,9999
25,2.0,4,1,25,normal,9999,6,9999,9999,1,3
25,2.0,4,1,25,Jaccard,9999,6,9999,9999,1,3
25,2.0,4,3,4,normal,5,1,9999,9999,9,9999
