w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
60,2.0,20,1,12,normal,4,1,9999,9999,9999,9999
60,2.0,20,1,12,Jaccard,3,1,9999,9999,37,9999
60,2.0,20,1,25,normal,2,9999,9999,9999,5,9999
60,2.0,20,1,25,Jaccard,2,9999,9999,9999,4,9999
60,2.0,20,3,4,normal,3,2,8,9999,9999,9999
60,2.0,20,3,4,Jaccard,3,2,6,9999,9999,9999
60,2.0,20,3,12,normal,3,2,9999,9999,9999,9999
60,2.0,20,3,12,Jaccard,3,2,9999,40,9999,9999
60,2.0,20,3,25,normal,4,1,9999,9999,7,9999
60,2.0,20,3,25,Jaccard,3,1,9999,9999,5,9999
60,2.0,20,5,4,normal,3,2,16,8,9999,9999
60,2.0,20,5,4,Jaccard,3,2,12,6,9999,9999
60,2.0,20,5,12,normal,4,1,17,24,9999,9999
60,2.0,20,5,12,Jaccard,3,1,10,14,37,9999
60,2.0,20,5,25,normal,3,9999,9999,9999,4,9999
60,2.0,20,5,25,Jaccard,2,9999,9999,9999,3,9999
60,10.0,4,1,4,normal,5,2,9999,9999,8,9999
60,10.0,4,1,4,Jaccard,4,2,9999,43,6,9999
60,10.0,4,1,12,normal,19,1,9999,9999,2,9999
60,10.0,4,1,12,Jaccard,14,1,9999,9999,2,9999
60,10.0,4,1,25,normal,9999,20,9999,9999,4,13
60,10.0,4,1,25,Jaccard,9999,9,9999,9999,2,5
60,10.0,4,3,4,normal,5,2,9999,9999,18,9999
60,10.0,4,3,4,Jaccard,4,2,9999,9999,14,9999
60,10.0,4,3,12,normal,38,7,9999,9999,3,9999
60,10.0,4,3,12,Jaccard,21,3,9999,48,2,9999
60,10.0,4,3,25,normal,9999,11,9999,9999,4,3
60,10.0,4,3,25,Jaccard,9999,8,9999,9999,3,2
60,10.0,4,5,4,normal,13,1,5,11,9999,9999
60,10.0,4,5,4,Jaccard,10,1,4,9,34,9999
60,10.0,4,5,12,normal,51,1,14,9999,2,9999
60,10.0,4,5,12,Jaccard,29,1,8,9999,2,9999
60,10.0,4,5,25,normal,9999,14,9999,9999,2,9
60,10.0,4,5,25,Jaccard,9999,8,9999,9999,1,4
60,10.0,8,1,4,normal,3,2,9999,9999,9999,9999
60,10.0,8,1,4,Jaccard,3,2,9999,42,9999,9999
60,10.0,8,1,12,normal,5,1,9999,9999,6,9999
60,10.0,8,1,12,Jaccard,4,1,9999,9999,5,9999
60,10.0,8,1,25,normal,32,7,9999,9999,1,15
60,10.0,8,1,25,Jaccard,18,2,9999,9999,1,7
60,10.0,8,3,4,normal,3,2,22,9999,9999,9999
60,10.0,8,3,4,Jaccard,3,2,15,9999,9999,9999
60,10.0,8,3,12,normal,5,1,9999,9999,6,9999
60,10.0,8,3,12,Jaccard,4,1,9999,9999,5,9999
60,10.0,8,3,25,normal,32,9,9999,9999,3,16
60,10.0,8,3,25,Jaccard,19,3,9999,57,2,8
60,10.0,8,5,4,normal,5,2,9999,9999,9999,9999
60,10.0,8,5,4,Jaccard,4,2,9999,9999,9999,9999
60,10.0,8,5,12,normal,11,1,9999,9999,5,9999
60,10.0,8,5,12,Jaccard,5,1,9999,38,4,9999
60,10.0,8,5,25,normal,36,5,9999,55,1,14
60,10.0,8,5,25,Jaccard,22,2,9999,30,1,8
60,10.0,20,1,4,normal,3,2,9999,9999,9999,9999
60,10.0,20,1,4,Jaccard,3,2,9999,9999,9999,9999
60,10.0,20,1,12,normal,4,1,9999,9999,9999,9999
60,10.0,20,1,12,Jaccard,3,1,9999,9999,35,9999
60,10.0,20,1,25,normal,3,9999,9999,9999,4,9999
60,10.0,20,1,25,Jaccard,2,9999,9999,9999,3,9999
60,10.0,20,3,4,normal,4,1,9999,10,9999,9999
60,10.0,20,3,4,Jaccard,3,1,39,7,52,9999
60,10.0,20,3,12,normal,2,9999,9999,9999,9999,9999
60,10.0,20,3,12,Jaccard,2,9999,9999,9999,38,9999
60,10.0,20,3,25,normal,3,9999,9999,9999,4,9999
60,10.0,20,3,25,Jaccard,2,9999,9999,9999,3,9999
60,10.0,20,5,4,normal,3,2,9,19,9999,9999
60,10.0,20,5,4,Jaccard,3,2,7,13,9999,9999
60,10.0,20,5,12,normal,3,2,14,9999,9999,9999
60,10.0,20,5,12,Jaccard,3,2,10,9999,44,9999
60,10.0,20,5,25,normal,4,1,9999,9999,7,9999
60,10.0,20,5,25,Jaccard,3,1,9999,9999,5,9999
